"","date","iso3c","country","gdp_per_cap","pop_size","sec_enrol","mort","democracy"
"1",1960,"AFG","Afghanistan",NA,9035043,NA,353.2,0
"2",1961,"AFG","Afghanistan",NA,9214083,NA,347.6,0
"3",1962,"AFG","Afghanistan",NA,9404406,NA,342.3,0
"4",1963,"AFG","Afghanistan",NA,9604487,NA,336.8,0
"5",1964,"AFG","Afghanistan",NA,9814318,NA,331.7,0
"6",1965,"AFG","Afghanistan",NA,10036008,NA,326.5,0
"7",1966,"AFG","Afghanistan",NA,10266395,NA,321.5,0
"8",1967,"AFG","Afghanistan",NA,10505959,NA,316.6,0
"9",1968,"AFG","Afghanistan",NA,10756922,NA,311.6,0
"10",1969,"AFG","Afghanistan",NA,11017409,NA,306.4,0
"11",1970,"AFG","Afghanistan",NA,11290128,8.36410045623779,301.6,0
"12",1971,"AFG","Afghanistan",NA,11567667,9.37827014923096,296.5,0
"13",1972,"AFG","Afghanistan",NA,11853696,10.4142398834228,291.4,0
"14",1973,"AFG","Afghanistan",NA,12157999,10.9321804046631,285.9,0
"15",1974,"AFG","Afghanistan",NA,12469127,11.0948801040649,280.6,0
"16",1975,"AFG","Afghanistan",NA,12773954,11.5955896377563,275.2,0
"17",1976,"AFG","Afghanistan",NA,13059851,12.4582595825195,269.7,0
"18",1977,"AFG","Afghanistan",NA,13340756,13.2592697143555,263.8,0
"19",1978,"AFG","Afghanistan",NA,13611441,13.8213396072388,257.9,0
"20",1979,"AFG","Afghanistan",NA,13655567,NA,251.9,0
"21",1980,"AFG","Afghanistan",NA,13169311,16.732780456543,245.7,0
"22",1981,"AFG","Afghanistan",NA,11937581,20.0920791625977,239.4,0
"23",1982,"AFG","Afghanistan",NA,10991378,12.295000076294,279.9,0
"24",1983,"AFG","Afghanistan",NA,10917982,NA,274.4,0
"25",1984,"AFG","Afghanistan",NA,11190221,13.6493997573853,309.1,0
"26",1985,"AFG","Afghanistan",NA,11426852,13.4969701766968,300.9,0
"27",1986,"AFG","Afghanistan",NA,11420074,12.1385698318481,253.1,0
"28",1987,"AFG","Afghanistan",NA,11387818,NA,247.2,0
"29",1988,"AFG","Afghanistan",NA,11523298,13.2139596939087,218.4,0
"30",1989,"AFG","Afghanistan",NA,11874088,12.6811199188232,187.1,0
"31",1990,"AFG","Afghanistan",NA,12045660,11.0395498275757,180.7,0
"32",1991,"AFG","Afghanistan",NA,12238879,17.1836109161377,174.4,0
"33",1992,"AFG","Afghanistan",NA,13278974,NA,168.5,0
"34",1993,"AFG","Afghanistan",NA,14943172,17.4169101715088,163,0
"35",1994,"AFG","Afghanistan",NA,16250794,23.4685802459717,157.7,0
"36",1995,"AFG","Afghanistan",NA,17065836,23.0545196533203,152.8,0
"37",1996,"AFG","Afghanistan",NA,17763266,NA,148.3,0
"38",1997,"AFG","Afghanistan",NA,18452091,NA,144.1,0
"39",1998,"AFG","Afghanistan",NA,19159996,NA,139.9,0
"40",1999,"AFG","Afghanistan",NA,19887785,NA,135.8,0
"41",2000,"AFG","Afghanistan",174.930991430166,20130327,NA,131.7,0
"42",2001,"AFG","Afghanistan",138.706821676113,20284307,14.0404100418091,127.4,0
"43",2002,"AFG","Afghanistan",178.954088379235,21378117,NA,123.1,0
"44",2003,"AFG","Afghanistan",198.871115728727,22733049,13.959529876709,118.7,0
"45",2004,"AFG","Afghanistan",221.763653873013,23560654,19.2143802642822,114.2,0
"46",2005,"AFG","Afghanistan",254.184249149336,24404567,20.2735099792481,109.7,0
"47",2006,"AFG","Afghanistan",274.218553561575,25424094,29.523889541626,105.1,0
"48",2007,"AFG","Afghanistan",376.223152003876,25909852,28.8154907226562,100.7,0
"49",2008,"AFG","Afghanistan",381.73323802844,26482622,38.930850982666,96.3,0
"50",2009,"AFG","Afghanistan",452.053705477043,27466101,44.2999496459961,92.2,0
